tick,time_s,blue-0_team,blue-0_profile,blue-1_team,blue-1_profile,blue-2_team,blue-2_profile,orange-0_team,orange-0_profile,orange-1_team,orange-1_profile,orange-2_team,orange-2_profile
13592,113.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13600,113.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13608,113.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13616,113.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13624,113.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13632,113.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13640,113.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13648,113.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13656,113.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13664,113.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13672,113.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13680,114.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13688,114.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13696,114.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13704,114.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13712,114.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13720,114.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13728,114.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13736,114.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13744,114.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13752,114.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13760,114.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13768,114.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13776,114.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13784,114.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13792,114.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13800,115.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13808,115.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13816,115.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13824,115.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13832,115.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13840,115.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13848,115.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13856,115.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13864,115.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13872,115.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13880,115.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13888,115.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13896,115.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13904,115.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13912,115.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13920,116.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13928,116.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13936,116.13333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13944,116.2,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13952,116.26666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13960,116.33333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13968,116.4,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13976,116.46666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13984,116.53333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
13992,116.6,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14000,116.66666666666667,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14008,116.73333333333333,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14016,116.8,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14024,116.86666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14032,116.93333333333334,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14040,117.0,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
14048,117.06666666666666,0,d1,0,d1,0,d1,1,d3,1,d3,1,d3
